Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_2460_1xAA,1,Keystone 2460,2460
"C1, C10, C4",0402,3,1nF,
C11,0603,1,4.7uF,
"C12, C8",0402,2,1uF,
"C13, C16, C2, C3, C9",0402,5,100nF,
C15,0402,1,100pF,
"C19, C20, C5, C6",0402,4,12pF,
C21,0402,1,1.2pF,
C22,0402,1,1.0pF,
C23,0603,1,0R placeholder,
C7,0402,1,47nF,
"D1, D2, D4",D_SOD-523,3,CDSU101A,CDSU101A
D3,0603,1,LED,
"D5, D6",D_SOD-523,2,Zener Prot 5V,EDZVT2R5.1B
"H1, H2, H3",Mounting_Wuerth_WA-SMSI-M3_H2.5mm_9774025360,3,9774025360R, 9774025360R
J1,SEXY_pinpogo,1,JLINK,
L1,0603,1,10uH,
L2,0402,1,15nH,MLG1005S15NHT000
L3,L_Bourns_SDSS604A,1,4.7uH,SDR0604-4R7ML
L4,0402,1,2.2nH,LQW15AN2N2C80D
L5,0402,1,4.7nH,LQW15AN4N7C80D
Q1,SOT-23,1,MMBT3906,
Q2,PHOTOTRANS_1708Metric,1,Q_Photo_NPN,ALS-PT19-315C/L177/TR8
Q3,SOT-23,1,IRLML6401,IRLML6401
"R1, R11, R12, R5, R6, R8",0402,6,10k,
"R10, R3",0402,2,1M,
"R2, R9",0603,2,10k,
R4,0402,1,1k,
R7,0402,1,470R,
"RST1, SW1",SW_SPST_B3U-1000P-B,2,B3U-1000P,
U1,Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm,1,SHTC3,
U2,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm_ThermalVias,1,nRF52833_QDxx,nRF52833_QDAA
X1,Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm,1,KC3225K75.0000C1GE00,KC3225K75.0000C1GE00
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,XRCGB32M000F2P01R0
Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768kHz,CM8V-T1A-32.768KHZ-9PF-20PPM-TA-QC
