Designator,Mid X,Mid Y,Rotation,Layer
AE2,69.0,-61.0,90.0,top
BT1,115.0725,-51.0,180.0,bottom
C1,116.1,-54.68,270.0,top
C10,91.677637,-44.05291,180.0,top
C11,75.4,-47.8,180.0,top
C12,81.6,-48.6625,180.0,top
C13,73.1,-53.3,180.0,top
C15,78.941341,-56.435918,90.0,top
C16,80.2,-47.9625,270.0,top
C19,79.4,-44.38,270.0,top
C2,145.7,-56.2,90.0,top
C20,80.8,-44.4,270.0,top
C21,77.222483,-58.280298,0.0,top
C22,77.219434,-55.717225,0.0,top
C23,71.96,-59.1,0.0,top
C3,101.18,-47.2,0.0,top
C4,92.2,-45.6,90.0,top
C5,80.85,-59.3875,0.0,top
C6,80.8,-55.6,180.0,top
C7,82.1,-51.3625,90.0,top
C8,83.0,-51.3625,90.0,top
C9,81.8,-54.4625,0.0,top
D1,117.1,-52.3,90.0,top
D2,89.1,-47.0,90.0,top
D3,83.7,-58.4,90.0,top
D4,93.4,-45.3,270.0,top
D5,127.6,-51.0,0.0,top
D6,101.5,-51.0,0.0,top
H1,122.0,-51.0,0.0,top
H2,148.0,-51.0,0.0,top
H3,96.0,-51.0,0.0,top
J1,80.35,-44.55,270.0,bottom
L1,82.2,-49.8625,180.0,top
L2,84.0,-49.9625,90.0,top
L3,72.8,-44.1,180.0,top
L4,76.2,-59.3,0.0,top
L5,76.742483,-56.980298,90.0,top
Q1,114.9,-48.8,270.0,top
Q2,88.1,-58.7,270.0,top
Q3,102.05,-44.75,90.0,top
R1,112.7,-51.49,270.0,top
R10,91.2,-45.6,90.0,top
R11,91.67,-43.1,0.0,top
R12,93.6,-43.1,0.0,top
R2,114.9,-51.7,0.0,top
R3,117.1,-54.68,270.0,top
R4,83.7,-55.9,90.0,top
R5,144.4,-58.1,90.0,top
R6,145.47,-58.09,270.0,top
R7,86.4,-59.5,0.0,top
R8,104.3,-43.9,270.0,top
R9,94.9,-45.1,270.0,top
RST1,87.8,-44.1,90.0,top
SW1,96.8,-57.4,90.0,top
U1,147.8,-57.2,0.0,top
U2,77.5,-51.9625,0.0,top
X1,98.1,-44.6,180.0,top
Y1,80.8,-57.5,270.0,top
Y2,80.1,-46.0625,180.0,top
